Year,Medal_Count
1896,3
1900,6
1904,4
1906,3
1920,7
1924,11
1928,4
1932,5
1936,1
1948,16
1952,20
1956,67
1960,46
1964,44
1968,51
1972,20
1976,23
1980,13
1984,52
1988,35
1992,57
1994,4
1996,132
1998,1
2000,183
2002,2
2004,157
2006,2
2008,149
2010,3
2012,114
2014,3
2016,82
